text,label
"Me encantó el servicio, fue rápido y muy útil",positivo
"La atención fue excelente y resolvieron mi problema",positivo
"Estoy muy satisfecho con la compra",positivo
"El producto llegó antes de lo esperado y funciona perfecto",positivo
"Buena calidad y precio justo",positivo
"La experiencia fue agradable y sencilla",positivo
"Recomendaría este servicio sin dudas",positivo
"El equipo respondió rápido y con amabilidad",positivo
"Todo salió mejor de lo esperado",positivo
"La aplicación es fácil de usar y estable",positivo
"Excelente soporte y muy buena comunicación",positivo
"Me ayudaron a terminar el trámite sin complicaciones",positivo
"El resultado fue positivo y eficiente",positivo
"Muy contento con la solución entregada",positivo
"La entrega fue puntual y el empaque impecable",positivo
"El sistema funciona bien y ahorra tiempo",positivo
"Great service, fast and helpful",positivo
"I love this product, it works perfectly",positivo
"Amazing experience and friendly support",positivo
"The process was smooth and efficient",positivo
"No me gustó la atención, fue lenta y confusa",negativo
"El producto llegó dañado y nadie respondió",negativo
"Estoy decepcionado con el servicio",negativo
"La aplicación falla constantemente",negativo
"Muy mala experiencia, no lo recomiendo",negativo
"El trámite fue complicado y perdí mucho tiempo",negativo
"La respuesta del soporte fue inútil",negativo
"El precio es alto para la baja calidad",negativo
"Hubo retrasos y poca comunicación",negativo
"El sistema se cayó varias veces",negativo
"La compra fue un desastre",negativo
"Me cobraron de más y no solucionaron nada",negativo
"No cumple con lo prometido",negativo
"El pedido llegó tarde e incompleto",negativo
"La atención fue grosera y poco profesional",negativo
"El servicio es lento y frustrante",negativo
"Terrible service, slow and confusing",negativo
"I hate this app, it crashes all the time",negativo
"The product arrived broken and late",negativo
"Bad support and poor quality",negativo
"El servicio fue normal, sin problemas importantes",neutral
"Recibí el pedido según lo indicado",neutral
"La información fue suficiente para continuar",neutral
"El producto cumple con lo básico",neutral
"La atención fue regular",neutral
"No tengo una opinión clara sobre el servicio",neutral
"El proceso tomó el tiempo esperado",neutral
"La aplicación tiene funciones básicas",neutral
"El resultado fue aceptable",neutral
"El trámite se completó correctamente",neutral
"La calidad es promedio",neutral
"El pedido llegó en la fecha indicada",neutral
"La respuesta fue estándar",neutral
"El sistema funcionó de manera habitual",neutral
"El precio está dentro de lo esperado",neutral
"La experiencia fue ni buena ni mala",neutral
"The service was okay",neutral
"The product is average",neutral
"It works as expected",neutral
"The process was standard",neutral
